device,date,reading
BMRMUSWACC109,2007/09/22 02:00,11.5
BMRMUSWACC109,2007/09/22 02:30,11.5
BMRMUSWACC109,2007/09/22 03:00,12.0
BMRMUSWACC109,2007/09/22 03:30,12.0
BMRMUSWACC4,2004/04/29 06:40,7.3
BMRMUSWACC4,2004/04/29 06:50,8.46
BMRMUSWACC4,2004/04/29 07:00,9.62
BMRMUSWACC4,2004/04/29 07:10,10.48
BMRMUSWACC4,2004/04/29 07:20,11.63
BMRMUSWACC4,2004/04/29 07:30,12.5
BMRMUSWACC4,2004/04/29 07:40,13.37
BMRMUSWACC4,2004/04/29 07:50,14.24
BMRMUSWACC4,2004/04/29 08:00,15.41
BMRMUSWACC4,2004/04/29 08:10,16.29
BMRMUSWACC4,2004/04/29 08:20,17.18
BMRMUSWACC4,2004/04/29 08:30,17.48
BMRMUSWACC4,2004/04/29 08:40,17.78
BMRMUSWACC4,2004/04/29 08:50,18.37
BMRMUSWACC4,2004/04/29 09:00,18.97
BMRMUSWACC4,2004/04/29 09:10,19.58
BMRMUSWACC4,2004/04/29 09:20,19.88
BMRMUSWACC4,2004/04/29 09:30,19.88
BMRMUSWACC4,2004/04/29 09:40,20.49
BMRMUSWACC4,2004/04/29 09:50,20.79
BMRMUSWACC4,2004/04/29 10:00,21.72
BMRMUSWACC4,2004/04/29 10:10,22.34
BMRMUSWACC4,2004/04/29 10:20,23.28
BMRMUSWACC4,2004/04/29 10:30,23.92
BMRMUSWACC4,2004/04/29 10:40,24.24
BMRMUSWACC4,2004/04/29 10:50,24.89
BMRMUSWACC4,2004/04/29 11:00,25.54
BMRMUSWACC4,2004/04/29 11:10,26.19
BMRMUSWACC4,2004/04/29 11:20,26.52
BMRMUSWACC4,2004/04/29 11:30,26.85
BMRMUSWACC4,2004/04/29 11:40,26.85
BMRMUSWACC4,2004/04/29 11:50,26.85
BMRMUSWACC4,2004/04/29 12:00,27.18
BMRMUSWACC4,2004/04/29 12:10,27.84
BMRMUSWACC4,2004/04/29 12:20,28.18
BMRMUSWACC4,2004/04/29 12:30,28.52
BMRMUSWACC4,2004/04/29 12:40,28.18
BMRMUSWACC4,2004/04/29 12:50,28.18
BMRMUSWACC4,2004/04/29 13:00,27.84
BMRMUSWACC4,2004/04/29 13:10,28.18
BMRMUSWACC4,2004/04/29 13:20,28.52
BMRMUSWACC4,2004/04/29 13:30,28.86
BMRMUSWACC4,2004/04/29 13:40,29.21
BMRMUSWACC4,2004/04/29 13:50,29.21
BMRMUSWACC4,2004/04/29 14:00,29.21
BMRMUSWACC4,2004/04/29 14:10,28.86
BMRMUSWACC4,2004/04/29 14:20,28.86
BMRMUSWACC4,2004/04/29 14:30,28.52
BMRMUSWACC4,2004/04/29 14:40,28.18
BMRMUSWACC4,2004/04/29 14:50,28.18
BMRMUSWACC4,2004/04/29 15:00,27.84
BMRMUSWACC4,2004/04/29 15:10,28.18
BMRMUSWACC4,2004/04/29 15:20,28.18
BMRMUSWACC4,2004/04/29 15:30,28.18
BMRMUSWACC4,2004/04/29 15:40,28.18
BMRMUSWACC4,2004/04/29 15:50,28.52
BMRMUSWACC4,2004/04/29 16:00,28.18
BMRMUSWACC4,2004/04/29 16:10,28.18
BMRMUSWACC4,2004/04/29 16:20,27.84
BMRMUSWACC4,2004/04/29 16:30,27.84
BMRMUSWACC4,2004/04/29 16:40,27.84
BMRMUSWACC4,2004/04/29 16:50,27.84
BMRMUSWACC4,2004/04/29 17:00,27.84
BMRMUSWACC4,2004/04/29 17:10,27.84
BMRMUSWACC4,2004/04/29 17:20,27.84
BMRMUSWACC4,2004/04/29 17:30,27.84
BMRMUSWACC4,2004/04/29 17:40,27.84
BMRMUSWACC4,2004/04/29 17:50,26.85
BMRMUSWACC4,2004/04/29 18:00,25.21
BMRMUSWACC4,2004/04/29 18:10,23.6
BMRMUSWACC4,2004/04/29 18:20,22.03
BMRMUSWACC4,2004/04/29 18:30,21.1
BMRMUSWACC4,2004/04/29 18:40,20.49
BMRMUSWACC4,2004/04/29 18:50,19.88
BMRMUSWACC4,2004/04/29 19:00,19.28
BMRMUSWACC4,2004/04/29 19:10,18.97
BMRMUSWACC4,2004/04/29 19:20,18.37
BMRMUSWACC4,2004/04/29 19:30,18.08
BMRMUSWACC4,2004/04/29 19:40,17.78
BMRMUSWACC4,2004/04/29 19:50,17.48
BMRMUSWACC4,2004/04/29 20:00,17.18
BMRMUSWACC4,2004/04/29 20:10,16.88
BMRMUSWACC4,2004/04/29 20:20,16.88
BMRMUSWACC4,2004/04/29 20:30,16.58
BMRMUSWACC4,2004/04/29 20:40,15.7
BMRMUSWACC4,2004/04/29 20:50,15.41
